Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,MyHome Link,Scraped Beds,Scraped Baths,Scraped Asking Price,Floor Area Value,BER Rating,BER Number,Energy Performance Indicator,Latitude,Longitude
"Taramar, Middle Third, Dublin 5, D05X8N9","€750,000",4 Bed,1 Bath,End of Terrace,E2,D05 X8N9,€765,Hamill Estate Agents & Valuers,Hamill Estate Agents & Valuers,"Sold, €950,000, Fri Sep 13 2024; Sale Agreed, €750,000, Thu Jun 06 2024; Created, €750,000, Fri Apr 19 2024",https://www.myhome.ie/residential/brochure/taramar-middle-third-killester-dublin-5/4786863,4 beds,,Sold,14 m2,,,,53.3738569,-6.203371
"87 Haddington Road, Dublin 4, D04WP23","€990,000",5 Bed,3 Bath,Terrace,SI_666,D04 WP23,"€1,035",Turley Property Advisors,Susan Turley,"Sold, €1,010,000, Fri Sep 13 2024; Sale Agreed, €990,000, Tue Apr 30 2024; Relisted, €990,000, Thu Feb 08 2024; Sale Agreed, €990,000, Sat Oct 07 2023; Price Drop, €990,000, Wed Sep 27 2023; Created, €1,150,000, Fri Aug 25 2023",https://www.myhome.ie/residential/brochure/87-haddington-road-ballsbridge-dublin-4/4731627,5 beds,3 baths,Sale Agreed,175 m2,,,,53.3353854,-6.2398422
