Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL,Asking Price,Beds,Baths,Floor Area Value,BER Rating,BER Number,Energy Performance Indicator,Latitude,Longitude,Monthly Price,Floor Area Unit,Publish Date,Sale Type,Category,Featured Level,Daft Link
"Taramar, Middle Third, Killester, Dublin 5",Sold,4 beds,1 Bath,End of Terrace,E2,D05 X8N9,€765,Hamill Estate Agents & Valuers,Hamill Estate Agents & Valuers,"Sold, €950,000, Fri Sep 13 2024; Sale Agreed, €750,000, Thu Jun 06 2024; Created, €750,000, Fri Apr 19 2024",https://mynest.ie/listing/126051/Dublin/taramar-middle-third-dublin-5-d05x8n9,Sold,4 beds,1 Bath,,,,,,,,,,,,,
"87 Haddington Road, Ballsbridge, Dublin 4",Sale Agreed,5 beds,3 baths,Terrace,SI_666,D04 WP23,"€1,035",Turley Property Advisors,Susan Turley,"Sold, €1,010,000, Fri Sep 13 2024; Sale Agreed, €990,000, Tue Apr 30 2024; Relisted, €990,000, Thu Feb 08 2024; Sale Agreed, €990,000, Sat Oct 07 2023; Price Drop, €990,000, Wed Sep 27 2023; Created, €1,150,000, Fri Aug 25 2023",,Sale Agreed,5 beds,3 baths,175 m2,,,,,,0,m²,,,,,https://www.myhome.ie/residential/brochure/87-haddington-road-ballsbridge-dublin-4/4731627
"79 The Northumberlands, Love Lane East, Mount Street Lower, Grand Canal Dk, Dublin 2",Sold,2 beds,1 Bath,Apartment,C1,D02 X068,€405,Owen Reilly,Owen Reilly Sales,"Sold, €480,000, Fri Sep 13 2024; Sale Agreed, €410,000, Mon Jul 01 2024; Created, €410,000, Wed Jun 05 2024",https://mynest.ie/listing/134218/Dublin/apartment-79-the-northumberlands-love-lane-east-dublin-2-d02x068,Sold,2 beds,1 Bath,,,,,,,,,,,,,
"7 Parkside Heath, Balgriffin, Dublin 13",Sold,3 beds,3 baths,Terrace,A3,D13 WN3C,€585,Sherry FitzGerald Sutton,Madeleine O'Connor,"Sold, €569,000, Fri Sep 13 2024; Unlisted, €535,000, Tue Jun 11 2024; Created, €535,000, Fri May 03 2024",https://mynest.ie/listing/128619/Dublin/7-parkside-heath-clongriffin-dublin-13-dublin-13-d13wn3c,Sold,3 beds,3 baths,113 m2,,,,,,0,m²,,,,,https://www.myhome.ie/residential/brochure/7-parkside-heath-balgriffin-dublin-13/4792923
"5 Herbert Road, Blanchardstown, Blanchardstown, Dublin 15, D15A3TN","€400,000",2 Bed,1 Bath,Bungalow,D2,D15 A3TN,€405,Lloyd Daly & Associates Ltd.,Lloyd Daly & Associates - Sales,"Sold, €432,200, Fri Sep 13 2024; Sale Agreed, €400,000, Mon May 20 2024; Created, €400,000, Sat Feb 24 2024",https://mynest.ie/listing/117502/Dublin/5-herbert-road-blanchardstown-blanchardstown-dublin-15-d15a3tn,"€400,000",2 Bed,1 Bath,,,,,,,,,,,,,
"Apartment 40, The Swift, Tassagard Greens, Saggart, Co. Dublin, D24KF58","€290,000",2 Bed,2 Bath,Apartment,B3,D24 KF58,€315,Smith & Butler Estates,Danny Butler,"Sold, €340,000, Fri Sep 13 2024; Sale Agreed, €290,000, Thu Jul 11 2024; Relisted, €290,000, Thu Apr 11 2024; Sale Agreed, €290,000, Fri Mar 15 2024; Created, €290,000, Thu Nov 23 2023",https://mynest.ie/listing/106324/Dublin/apartment-40-the-swift-tassagard-greens-saggart-co-dublin-d24kf58,"€290,000",2 Bed,2 Bath,,,,,,,,,,,,,
