Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL,MyHome_Address,MyHome_Asking_Price,MyHome_Beds,MyHome_Baths,MyHome_Floor_Area_Value,MyHome_BER_Rating,MyHome_Latitude,MyHome_Longitude,MyHome_Link
"22 Mount Rochford Avenue, Balbriggan, Co. Dublin, K32E628","€437,500",4 Bed,3 Bath,Semi-D,B3,K32 E628,€405,Sherry Fitzgerald Cumisky Kelly,Chris White,"Sold, €437,500, Tue Jul 30 2024; Sale Agreed, €437,500, Fri May 10 2024; Created, €437,500, Tue Apr 30 2024",https://mynest.ie/listing/127923/Dublin/22-mount-rochford-avenue-balbriggan-co-dublin-k32e628,,,,,,,53.6175672,-6.1997553,https://www.myhome.ie/priceregister/22-mount-rochford-ave-dublin-balbriggan-co-dublin-k32e628-1738674
"194 Barton Road East, Dundrum, Dundrum, Dublin 14, D14DP96","€570,000",3 Bed,2 Bath,Semi-D,E2,D14 DP96,€585,OMD Estate Agents,Elena Cernat,"Sold, €665,000, Tue Jul 30 2024; Sale Agreed, €570,000, Wed Jul 10 2024; Price Drop, €570,000, Tue Mar 12 2024; Created, €599,000, Wed Feb 28 2024",https://mynest.ie/listing/118167/Dublin/194-barton-road-east-dundrum-dundrum-dublin-14-d14dp96,"194 Barton Road East, Churchtown, Dublin 14, Co. Dublin, Dundrum, Dublin 14",Sale Agreed,3 beds,2 baths,93.65,,53.288329,-6.249039,https://www.myhome.ie/residential/brochure/194-barton-road-east-churchtown-dublin-14-co-dublin-dundrum-dublin-14/4775378
