Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL
"19 Manor Square, Ongar Village, Ongar, Dublin 15, D15P440","€275,000",2 Bed,2 Bath,Duplex,B3,D15 P440,€315,Herbert & Lansdowne Estate Agents,Sales Department,"Sold, €324,000, Fri Sep 06 2024; Sale Agreed, €275,000, Wed May 15 2024; Created, €275,000, Fri May 03 2024",https://mynest.ie/listing/128556/Dublin/19-manor-square-ongar-village-ongar-dublin-15-d15p440
"16 Cairnbrook Avenue, Carrickmines, Carrickmines, Dublin 18, D18TP40","€495,000",2 Bed,2 Bath,Apartment,C1,D18 TP40,€495,Gillespie Lowe,John Lowe,"Sold, €517,500, Fri Sep 06 2024; Sale Agreed, €495,000, Thu Jun 27 2024; Created, €495,000, Wed Apr 17 2024",https://mynest.ie/listing/125596/Dublin/16-cairnbrook-avenue-carrickmines-carrickmines-dublin-18-d18tp40
"12 Linnetfields Close, Clonee, Clonee, Dublin 15, D15C6K7","€275,000",2 Bed,1 Bath,Terrace,C2,D15 C6K7,€315,O'Connell Properties,Jim O'Connell,"Sold, €338,000, Fri Sep 06 2024; Sale Agreed, €275,000, Thu Jun 20 2024; Created, €275,000, Tue Apr 16 2024",https://mynest.ie/listing/125396/Dublin/12-linnetfields-close-clonee-clonee-dublin-15-d15c6k7
"Apartment 106, The Beech, Dublin 16, D16T283","€350,000",2 Bed,2 Bath,Apartment,SI_666,D16 T283,€315,Stokes Property Consultants Ltd,Nick Boyle,"Sold, €367,000, Fri Sep 06 2024; Created, €350,000, Thu Mar 28 2024",https://mynest.ie/listing/122588/Dublin/apartment-106-the-beech-dublin-16-d16t283
"10 Cherrywood Villas, D22YN25, Clondalkin, Dublin 22","€295,000",2 Bed,1 Bath,Bungalow,E1,D22 YN25,€315,Ray Cooke Auctioneers,Southside Sales 2,"Sold, €320,000, Fri Sep 06 2024; Unlisted, €295,000, Fri Jul 19 2024; Created, €295,000, Fri May 24 2024",https://mynest.ie/listing/132308/Dublin/10-cherrywood-villas-d22yn25-clondalkin-dublin-22
"1 Terenure Park, Terenure, Dublin 6W, D6WT183","€1,250,000",5 Bed,3 Bath,End of Terrace,B3,D6W T183,"€1,627",Quillsen,Quillsen Terenure,"Sold, €1,325,000, Fri Sep 06 2024; Sale Agreed, €1,250,000, Wed Jun 26 2024; Created, €1,250,000, Fri Apr 26 2024",https://mynest.ie/listing/127420/Dublin/1-terenure-park-terenure-dublin-6w-d6wt183
"1 Cormac Terrace, Terenure, Dublin 6, D6WHX66","€500,000",2 Bed,1 Bath,End of Terrace,D2,D6W HX66,€495,DNG Terenure,Orla Buckley,"Sold, €565,000, Fri Sep 06 2024; Sale Agreed, €500,000, Wed May 29 2024; Created, €500,000, Wed Apr 17 2024",https://mynest.ie/listing/125545/Dublin/1-cormac-terrace-terenure-dublin-6-d6whx66
"Pine Lodge, Ballinclea Road, Killiney, Co. Dublin, A96CD40","€750,000",3 Bed,1 Bath,Bungalow,D2,A96 CD40,€765,Herman White Estates,Rory Crerar,"Sold, €800,000, Thu Sep 05 2024; Sale Agreed, €750,000, Tue Apr 30 2024; Created, €750,000, Mon Mar 25 2024",https://mynest.ie/listing/121973/Dublin/pine-lodge-ballinclea-road-killiney-co-dublin-a96cd40
"Apartment 79 ,West Gate, Saint Augustine Street, Christchurch, Dublin 8, D08P868","€325,000",2 Bed,1 Bath,Apartment,D1,D08 P868,€315,The Property Shop,Sales,"Sold, €340,000, Thu Sep 05 2024; Sale Agreed, €325,000, Wed Aug 07 2024; Created, €325,000, Fri Jun 14 2024",https://mynest.ie/listing/136079/Dublin/apartment-79-west-gate-saint-augustine-street-christchurch-dublin-8-d08p868
"62A Churchtown Road Lower, Churchtown, Dublin 14, D14Y796","€640,000",3 Bed,2 Bath,Semi-D,C2,D14 Y796,€675,Maher Gleeson Estates,Stephen Dunne,"Sold, €640,000, Thu Sep 05 2024; Sale Agreed, €640,000, Thu Jun 06 2024; Price Drop, €640,000, Tue May 14 2024; Created, €700,000, Tue Apr 16 2024",https://mynest.ie/listing/125371/Dublin/62a-churchtown-road-lower-churchtown-dublin-14-d14y796
